Asset NO.(SAP),รหัสครุภัณฑ์,รายละเอียดสินทรัพย์,วันที่ขึ้นทะเบียนสินทรัพย์,หน่วยนับ,Price,life_time,ชนิด,ลักษณะ,หน่วยงาน,ชื่อหน่วยงาน
10000024804,630101401000323,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024806,630101401000324,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024808,630101401000325,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024810,630101401000326,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024812,630101401000327,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024814,630101401000328,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024816,630101401000329,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024818,630101401000330,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024820,630101401000331,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 12,500 Btu/hr. ชั้น 5 - 10",2020-09-24,เครื่อง,23941.59,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024822,630101401000332,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 19,800 Btu/hr. ชั้น 1 - 4",2020-09-24,เครื่อง,33342.49,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024824,630101401000333,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 347,000 Btu/hr. ชั้น 1 - 4 (CONDENSING UNIT ชั้นที่ 1-4)",2020-09-24,เครื่อง,1215616.63,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
10000024826,630101401000334,"เครื่องปรับอากาศ เครื่องปรับอากาศ ขนาด 347,000 Btu/hr. ชั้น 1 - 4 (CONDENSING UNIT ชั้นที่ 1-4)",2020-09-24,เครื่อง,1215616.63,5.0,A014 เครื่องปรับอากาศ,A020 เครื่องปรับอากาศ,0213,กองอาคารสถานที่
